epoch,step,test_loss,test_mae,test_rmse,train_loss,val_loss,val_mae
0,216,,,,,0.22220167517662048,0.22220167517662048
0,216,,,,0.8277789950370789,,
1,433,,,,,0.22516964375972748,0.22516964375972748
1,433,,,,0.2324346899986267,,
2,650,,,,,0.22220869362354279,0.22220869362354279
2,650,,,,0.22713902592658997,,
3,867,,,,,0.22171616554260254,0.22171616554260254
3,867,,,,0.22598686814308167,,
4,1084,,,,,0.244889035820961,0.244889035820961
4,1084,,,,0.2257823497056961,,
5,1301,,,,,0.22290945053100586,0.22290945053100586
5,1301,,,,0.22543638944625854,,
6,1518,,,,,0.22190521657466888,0.22190521657466888
6,1518,,,,0.22521930932998657,,
7,1735,,,,,0.22366777062416077,0.22366777062416077
7,1735,,,,0.2250620573759079,,
8,1952,,,,,0.2218739539384842,0.2218739539384842
8,1952,,,,0.22587089240550995,,
9,2169,,,,,0.22432465851306915,0.22432465851306915
9,2169,,,,0.22485673427581787,,
10,2386,,,,,0.2248978167772293,0.2248978167772293
10,2386,,,,0.22467756271362305,,
11,2603,,,,,0.22315174341201782,0.22315174341201782
11,2603,,,,0.22462520003318787,,
12,2820,,,,,0.22333307564258575,0.22333307564258575
12,2820,,,,0.2245653122663498,,
13,3037,,,,,0.2257656455039978,0.2257656455039978
13,3037,,,,0.22453783452510834,,
14,3254,,,,,0.2298363745212555,0.2298363745212555
14,3254,,,,0.22462455928325653,,
15,3471,,,,,0.222492054104805,0.222492054104805
15,3471,,,,0.22468890249729156,,
16,3688,,,,,0.22491900622844696,0.22491900622844696
16,3688,,,,0.2244337648153305,,
17,3905,,,,,0.22390346229076385,0.22390346229076385
17,3905,,,,0.22435502707958221,,
18,4122,,,,,0.22293208539485931,0.22293208539485931
18,4122,,,,0.22418566048145294,,
19,4123,0.6583157777786255,0.6583157777786255,0.6831436157226562,,,
