epoch,step,train_loss
0,11,8.858210563659668
1,23,2.356961727142334
2,35,0.538133442401886
3,47,0.2695995271205902
4,59,0.25570687651634216
5,71,0.24941644072532654
6,83,0.24328994750976562
7,95,0.24013231694698334
8,107,0.23770979046821594
9,119,0.23597674071788788
10,131,0.23538871109485626
11,143,0.2342354655265808
12,155,0.23315711319446564
13,167,0.23265017569065094
14,179,0.23229801654815674
15,191,0.23233339190483093
16,203,0.23219595849514008
17,215,0.23202772438526154
18,227,0.23125258088111877
19,239,0.2312285155057907
20,251,0.23074786365032196
21,263,0.23089531064033508
22,275,0.23067082464694977
23,287,0.23042835295200348
24,299,0.23046760261058807
25,311,0.23007740080356598
26,323,0.2302284687757492
27,335,0.2301587164402008
28,347,0.22996819019317627
29,359,0.22960622608661652
30,371,0.2299775779247284
31,383,0.22981318831443787
32,395,0.22971735894680023
33,407,0.2297837734222412
34,419,0.22937145829200745
35,431,0.2295142412185669
36,443,0.22986242175102234
37,455,0.229460209608078
38,467,0.22960135340690613
39,479,0.22948496043682098
40,491,0.22974446415901184
41,503,0.22937259078025818
42,515,0.22951579093933105
43,527,0.22960145771503448
44,539,0.22941714525222778
45,551,0.22960792481899261
46,563,0.2295067310333252
47,575,0.22934873402118683
48,587,0.22931160032749176
49,599,0.22952695190906525
50,611,0.22917680442333221
51,623,0.229549840092659
52,635,0.22931954264640808
53,647,0.2294478863477707
54,659,0.2293749749660492
55,671,0.22945629060268402
56,683,0.2294360101222992
57,695,0.22939452528953552
58,707,0.2295244187116623
59,719,0.22955726087093353
60,731,0.2295554131269455
61,743,0.22922548651695251
62,755,0.22943450510501862
63,767,0.22918793559074402
64,779,0.22928698360919952
65,791,0.22916525602340698
66,803,0.22935418784618378
67,815,0.22942794859409332
68,827,0.22932617366313934
69,839,0.22915895283222198
70,851,0.22898650169372559
71,863,0.22886814177036285
72,875,0.22917458415031433
73,887,0.2287525087594986
74,899,0.22894032299518585
75,911,0.22867079079151154
76,923,0.228729248046875
77,935,0.22863945364952087
78,947,0.22841788828372955
79,959,0.22861741483211517
80,971,0.22815997898578644
81,983,0.22812515497207642
82,995,0.22824420034885406
83,1007,0.22832036018371582
84,1019,0.22800497710704803
85,1031,0.22789038717746735
86,1043,0.2277020364999771
87,1055,0.2275361269712448
88,1067,0.227581188082695
89,1079,0.22754225134849548
90,1091,0.22756582498550415
91,1103,0.2273087054491043
92,1115,0.22722099721431732
93,1127,0.2271885722875595
94,1139,0.22706595063209534
95,1151,0.2271886169910431
96,1163,0.22715190052986145
97,1175,0.2270265519618988
98,1187,0.2269909381866455
99,1199,0.2267911732196808
