epoch,step,test_loss,test_mae,test_rmse,train_loss,val_loss,val_mae
0,216,,,,,0.22150148451328278,0.22150148451328278
0,216,,,,0.8237206935882568,,
1,433,,,,,0.222416952252388,0.222416952252388
1,433,,,,0.23192010819911957,,
2,650,,,,,0.22171294689178467,0.22171294689178467
2,650,,,,0.22699962556362152,,
3,867,,,,,0.22338922321796417,0.22338922321796417
3,867,,,,0.22528836131095886,,
4,1084,,,,,0.22305679321289062,0.22305679321289062
4,1084,,,,0.22480133175849915,,
5,1301,,,,,0.22361096739768982,0.22361096739768982
5,1301,,,,0.22444327175617218,,
6,1518,,,,,0.22303251922130585,0.22303251922130585
6,1518,,,,0.2244284749031067,,
7,1735,,,,,0.22274911403656006,0.22274911403656006
7,1735,,,,0.2251589596271515,,
8,1952,,,,,0.22185884416103363,0.22185884416103363
8,1952,,,,0.22461993992328644,,
9,2169,,,,,0.22318026423454285,0.22318026423454285
9,2169,,,,0.22435377538204193,,
10,2386,,,,,0.2225281000137329,0.2225281000137329
10,2386,,,,0.224424347281456,,
11,2603,,,,,0.2217002958059311,0.2217002958059311
11,2603,,,,0.22423532605171204,,
12,2820,,,,,0.2219870537519455,0.2219870537519455
12,2820,,,,0.22392188012599945,,
13,3037,,,,,0.22224602103233337,0.22224602103233337
13,3037,,,,0.22385701537132263,,
14,3254,,,,,0.22190286219120026,0.22190286219120026
14,3254,,,,0.22383514046669006,,
15,3471,,,,,0.2230566293001175,0.2230566293001175
15,3471,,,,0.22387631237506866,,
16,3472,0.20458462834358215,0.20458462834358215,0.2447887510061264,,,
