epoch,step,train_loss
0,11,8.858504295349121
1,23,2.355339288711548
2,35,0.5203168988227844
3,47,0.2764705717563629
4,59,0.25616228580474854
5,71,0.24883399903774261
6,83,0.2421710044145584
7,95,0.23987333476543427
8,107,0.23714059591293335
9,119,0.2357862889766693
10,131,0.23501351475715637
11,143,0.23411399126052856
12,155,0.23324541747570038
13,167,0.2327735722064972
14,179,0.23187026381492615
15,191,0.23185645043849945
16,203,0.23165832459926605
17,215,0.2314690351486206
18,227,0.2310720980167389
19,239,0.23134320974349976
20,251,0.23089918494224548
21,263,0.2310713827610016
22,275,0.23077769577503204
23,287,0.2305421233177185
24,299,0.23062735795974731
25,311,0.23017866909503937
26,323,0.23032502830028534
27,335,0.23026108741760254
28,347,0.2300644814968109
29,359,0.22969353199005127
30,371,0.23008081316947937
31,383,0.22990544140338898
32,395,0.2298218160867691
33,407,0.22987256944179535
34,419,0.22945497930049896
35,431,0.22959314286708832
36,443,0.22994813323020935
37,455,0.22953473031520844
38,467,0.2296922206878662
39,479,0.22956079244613647
40,491,0.22981925308704376
41,503,0.2294538915157318
42,515,0.22959370911121368
43,527,0.22967873513698578
44,539,0.22947527468204498
45,551,0.22969111800193787
46,563,0.2295732945203781
47,575,0.22944098711013794
48,587,0.22938792407512665
49,599,0.22960667312145233
50,611,0.2292541116476059
51,623,0.22964006662368774
52,635,0.22940512001514435
53,647,0.22953541576862335
54,659,0.22944559156894684
55,671,0.22954386472702026
56,683,0.22950561344623566
57,695,0.22947847843170166
58,707,0.22959978878498077
59,719,0.22962115705013275
60,731,0.22963692247867584
61,743,0.2293015420436859
62,755,0.22952386736869812
63,767,0.22925332188606262
64,779,0.22934898734092712
65,791,0.22925198078155518
66,803,0.22943398356437683
67,815,0.22951099276542664
68,827,0.22939185798168182
69,839,0.2292177826166153
70,851,0.22905287146568298
71,863,0.2289232760667801
72,875,0.22923065721988678
73,887,0.22882080078125
74,899,0.2290000319480896
75,911,0.22872909903526306
76,923,0.22878700494766235
77,935,0.2286825329065323
78,947,0.22847799956798553
79,959,0.22867079079151154
80,971,0.22820013761520386
81,983,0.22814872860908508
82,995,0.22826199233531952
83,1007,0.22835378348827362
84,1019,0.22805455327033997
85,1031,0.22790956497192383
86,1043,0.22772911190986633
87,1055,0.22758205235004425
88,1067,0.22761566936969757
89,1079,0.22756654024124146
90,1091,0.2275916188955307
91,1103,0.22732631862163544
92,1115,0.22724147140979767
93,1127,0.2271973043680191
94,1139,0.2270847111940384
95,1151,0.22721605002880096
96,1163,0.22715674340724945
97,1175,0.22707277536392212
98,1187,0.2270483821630478
99,1199,0.23221352696418762
