epoch,step,train_loss
0,11,8.858192443847656
1,23,2.355012893676758
2,35,0.5627500414848328
3,47,0.26465490460395813
4,59,0.25205865502357483
5,71,0.24298597872257233
6,83,0.2404472529888153
7,95,0.23821614682674408
8,107,0.23621493577957153
9,119,0.2348816692829132
10,131,0.23415493965148926
11,143,0.23347978293895721
12,155,0.2331506311893463
13,167,0.23273056745529175
14,179,0.23243148624897003
15,191,0.23238520324230194
16,203,0.23228497803211212
17,215,0.23202498257160187
18,227,0.23160326480865479
19,239,0.23197966814041138
20,251,0.23147761821746826
21,263,0.23147457838058472
22,275,0.2309921383857727
23,287,0.23090167343616486
24,299,0.23103764653205872
25,311,0.23052595555782318
26,323,0.23063747584819794
27,335,0.2305983304977417
28,347,0.23029948770999908
29,359,0.23007039725780487
30,371,0.23034065961837769
31,383,0.23008759319782257
32,395,0.22996756434440613
33,407,0.22998526692390442
34,419,0.22974979877471924
35,431,0.22976495325565338
36,443,0.2301129847764969
37,455,0.2297627031803131
38,467,0.22988885641098022
39,479,0.22974009811878204
40,491,0.2298944890499115
41,503,0.22957836091518402
42,515,0.2296728789806366
43,527,0.22977609932422638
44,539,0.22952577471733093
45,551,0.22985924780368805
46,563,0.22965016961097717
47,575,0.22955866158008575
48,587,0.2294708639383316
49,599,0.22970889508724213
50,611,0.22935810685157776
51,623,0.22966937720775604
52,635,0.22944258153438568
53,647,0.22967416048049927
54,659,0.22957304120063782
55,671,0.22962374985218048
56,683,0.22958268225193024
57,695,0.22953066229820251
58,707,0.2296803742647171
59,719,0.22968177497386932
60,731,0.22966992855072021
61,743,0.22932006418704987
62,755,0.2295788675546646
63,767,0.22929570078849792
64,779,0.2294023185968399
65,791,0.2293214648962021
66,803,0.2294539213180542
67,815,0.22951950132846832
68,827,0.22915402054786682
69,839,0.22901195287704468
70,851,0.22872881591320038
71,863,0.22860656678676605
72,875,0.22889240086078644
73,887,0.22854143381118774
74,899,0.2286498248577118
75,911,0.2285458743572235
76,923,0.2285526841878891
77,935,0.228514164686203
78,947,0.22821234166622162
79,959,0.22853003442287445
80,971,0.22784432768821716
81,983,0.22795924544334412
82,995,0.2281000167131424
83,1007,0.22806228697299957
84,1019,0.22791790962219238
85,1031,0.22771598398685455
86,1043,0.22753766179084778
87,1055,0.22741274535655975
88,1067,0.22755229473114014
89,1079,0.22740298509597778
90,1091,0.22747237980365753
91,1103,0.22725693881511688
92,1115,0.2271871119737625
93,1127,0.22717255353927612
94,1139,0.2270451784133911
95,1151,0.22711198031902313
96,1163,0.2270035594701767
97,1175,0.22696320712566376
98,1187,0.22695472836494446
99,1199,0.22670911252498627
